Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
/people/1,373,692,4,2031,2040,2054,3,2060,34.05%,.3,.4,957.45
TOTAL,373,692,4,2031,2040,2054,3,2060,34.05%,.3,.4,957.45
